district,doy,year,tminc,tmeanc,tmaxc,pr,rmean,vpd
Tripp,2.0,2018.0,-16.031692474080472,-8.302181567611958,-0.5726706611432859,0.0,65.45305577659576,0.19504217647157923
Brule,2.0,2018.0,-17.39925695726101,-8.840003647643966,-0.28075033802691535,0.0,59.81975035228931,0.22549156248802787
Gregory,2.0,2018.0,-16.281460859766806,-8.032107862539393,0.21724513468802178,0.0,63.40529848468956,0.21836089455262317
Charles Mix,2.0,2018.0,-16.601021014607998,-7.962473191407791,0.6760746317924481,0.0,58.245789534181235,0.24512189000740991
Douglas,2.0,2018.0,-16.84109427342712,-8.0687306143416,0.7036330447439015,0.0,55.7473248247343,0.25333133320792556
Bon Homme,2.0,2018.0,-16.54598711466607,-8.025782859246823,0.4944213961723911,0.0,54.517843899350474,0.251524535127616
Hutchinson,2.0,2018.0,-16.861466863192383,-8.354847809447895,0.15177124429659358,0.0,48.286643125188604,0.26292641111774656
Davison,2.0,2018.0,-17.595563506159774,-9.04334760849187,-0.4911317108239964,0.0,40.92115932321949,0.27022232282075426
Hanson,2.0,2018.0,-17.822514535824507,-9.333787346270226,-0.8450601567159618,0.0,38.28883090314535,0.269251080145124
Miner,2.0,2018.0,-17.465543629741966,-9.033078086949033,-0.600612544156124,0.0,39.06976853244631,0.2733619407145818
Sanborn,2.0,2018.0,-18.04169879091871,-9.310226221295418,-0.5787536516721689,0.007993446837979182,42.19883435343566,0.2660071240776482
Jerauld,2.0,2018.0,-17.976249495144284,-9.243496204676616,-0.5107429142089952,0.1768363196503755,55.86162969561542,0.2318479346590431
Aurora,2.0,2018.0,-17.443148062891133,-8.864748096138019,-0.28634812938491083,0.0,52.58289440745511,0.24387828553960425
Beadle,2.0,2018.0,-18.47450022706679,-9.555288343359633,-0.6360764596523343,0.4216137453261359,53.85675905113883,0.23623349630694976
Kingsbury,2.0,2018.0,-18.42714547350121,-9.875568476965952,-1.3239914804306976,0.17916532189383008,47.70732603822536,0.23673194257098912
Brookings,2.0,2018.0,-18.746764157164645,-10.35299060151045,-1.9592170458562406,0.0,49.05398515528356,0.2210684800010555
Lake,2.0,2018.0,-19.04938507977462,-10.434382467772329,-1.8193798557700547,0.0,49.57327586289467,0.2244875480245475
McCook,2.0,2018.0,-17.74964720716755,-9.443904855876267,-1.1381625045850208,0.0,43.42994584933069,0.2510264628833539
Minnehaha,2.0,2018.0,-17.655742862475076,-9.602688689283923,-1.5496345160927738,0.006209787224021728,48.82327354458475,0.2290593019183496
Moody,2.0,2018.0,-18.683721140037182,-10.386472370749006,-2.089223601460839,0.0,49.66501072945705,0.2191563328938408
Union,2.0,2018.0,-14.946389882933154,-7.2290850413611345,0.4882198002108623,0.9686836559565934,42.96569484134956,0.28532990482093523
Clay,2.0,2018.0,-15.365683893762517,-7.215377986325449,0.9349279211115954,0.05408777619360542,44.419926269755116,0.29030607122807367
Lincoln,2.0,2018.0,-16.516894016793636,-8.536577291189483,-0.556260565585354,0.02285733252603964,42.62983852009636,0.2666265239661651
